latitude,longitude,frp,confidence,industry_distance_km,forest_distance_km,persistence_days,night_flag,industrial_risk_label
21.49816,79.03305,31.2,64.6,5.92,1.11,1,0,0
23.80286,76.09835,42.3,39.9,0.08,17.3,2,0,0
22.92798,76.08849,97.5,64.2,2.33,2.36,2,1,1
22.39463,77.29444,142.3,65.4,2.17,5.01,2,0,0
20.62407,77.95457,49.0,79.5,3.92,3.81,2,1,0
20.62398,79.08163,61.7,59.5,0.38,5.11,2,0,0
20.23233,78.73318,33.8,95.2,7.81,1.63,2,1,0
23.4647,77.78361,49.4,41.3,1.23,7.0,0,0,0
22.40446,77.09451,34.9,89.7,5.65,16.18,1,0,0
22.83229,79.9885,45.9,66.6,8.13,5.83,1,0,0
20.08234,77.70473,40.6,82.9,4.13,6.75,3,0,0
23.87964,77.80555,141.0,71.2,6.75,18.89,1,0,0
23.32977,76.6545,82.1,87.1,5.42,12.24,5,0,1
20.84936,79.17924,38.2,64.2,2.2,6.74,3,0,0
20.7273,78.77473,46.0,53.5,8.27,2.98,3,0,0
20.73362,76.88308,69.4,91.3,1.75,21.62,2,1,0
21.21697,76.32952,16.5,68.3,4.23,8.6,1,0,0
22.09903,78.722,55.7,73.3,6.84,2.5,3,0,0
21.72778,78.61804,79.0,88.5,2.38,3.14,2,1,1
21.16492,77.09304,72.0,54.5,1.8,16.25,0,0,0
22.44741,79.80345,25.3,78.9,3.07,0.45,3,1,0
20.55798,76.60423,29.6,61.2,8.52,48.4,1,0,0
21.16858,77.72934,5.8,68.0,13.29,1.4,1,0,0
21.46545,79.77446,84.9,71.1,3.94,15.9,2,0,0
21.82428,77.67891,181.0,47.5,5.42,5.02,1,0,0
23.1407,78.5541,22.2,58.3,11.68,6.78,0,0,0
20.7987,77.59038,105.9,90.3,0.52,21.26,3,0,1
22.05694,77.09686,170.7,83.3,1.32,5.33,3,0,1
22.36966,79.93591,34.1,69.1,6.17,7.71,3,0,0
20.1858,77.63734,46.0,73.6,8.68,0.51,1,0,0
22.43018,79.5764,60.5,65.6,9.73,0.1,2,0,0
20.6821,76.91982,70.4,90.3,2.68,2.81,0,0,0
20.26021,76.85242,62.9,67.0,0.47,11.41,1,0,0
23.79554,76.12454,36.3,73.5,2.88,1.29,1,0,0
23.86253,78.60667,78.1,87.2,1.31,1.21,1,0,0
23.23359,77.47411,37.0,58.3,1.72,5.29,1,0,0
21.21846,79.45743,66.1,93.4,7.4,10.44,0,0,0
20.39069,77.89284,48.9,47.0,0.39,12.45,4,0,1
22.73693,79.87277,8.0,94.4,8.79,1.97,3,0,0
21.76061,76.7421,116.5,64.4,2.79,0.83,3,0,0
20.48815,79.47449,30.3,66.4,4.53,28.2,5,0,1
21.98071,79.10639,124.4,41.6,0.47,3.02,3,0,0
20.13755,79.08369,103.1,63.2,2.06,19.2,3,0,0
23.63728,79.37913,59.2,54.4,0.47,19.91,2,0,1
21.03512,79.0441,73.0,60.9,16.29,14.81,1,0,0
22.65009,78.50488,79.4,67.9,8.23,1.85,1,1,0
21.24684,76.52498,42.7,84.4,3.08,17.25,2,1,1
22.08027,76.1301,44.4,73.1,1.27,14.66,0,0,0
22.18684,79.68339,76.7,74.6,13.55,9.08,2,0,0
20.73942,78.4666,49.3,53.6,2.11,4.11,4,0,0
23.87834,79.18615,36.4,56.8,0.88,3.05,2,1,1
23.10053,77.92609,25.6,97.0,4.14,1.3,3,0,0
23.758,76.46923,67.5,59.0,14.39,7.13,0,1,0
23.57931,76.50074,29.4,94.8,0.05,8.8,0,0,0
22.3916,78.74226,91.4,66.4,1.36,4.45,2,0,1
23.6875,77.72122,96.7,70.0,13.94,6.45,3,0,0
20.35397,76.8021,72.6,86.1,0.94,4.52,2,0,1
20.78393,77.96638,83.7,89.1,0.6,10.24,0,0,0
20.18091,76.25684,72.8,68.3,4.22,23.15,1,0,0
21.30132,78.32789,87.8,64.2,9.9,1.79,1,0,0
21.55471,77.07597,85.3,69.2,3.24,4.8,2,1,1
21.0854,79.19024,64.9,75.1,26.07,1.52,1,0,0
23.31495,77.24145,104.0,83.4,5.68,9.81,1,0,0
21.42701,77.82088,43.9,70.1,0.38,13.05,2,0,1
21.12374,76.04648,26.3,79.3,24.69,26.87,2,1,0
22.17078,76.28979,25.2,94.6,2.62,3.27,1,1,1
20.5637,77.56997,39.0,75.7,1.69,30.0,0,0,0
23.20879,77.91976,6.7,74.7,4.08,0.65,1,0,0
20.2982,78.40008,58.7,47.2,1.81,9.24,2,0,1
23.94755,77.16665,80.1,30.5,0.45,0.59,2,0,0
23.08898,78.77993,95.8,75.8,0.05,22.42,1,0,1
20.79486,79.44049,10.0,68.6,2.99,7.55,0,1,0
20.02209,79.1194,25.9,62.3,9.07,11.07,3,0,0
23.26185,76.15848,89.5,73.7,4.25,17.81,4,0,0
22.82743,77.92203,42.9,69.1,30.0,1.63,0,0,0
22.91603,76.41972,78.9,86.9,1.69,0.39,2,1,0
23.08508,76.96818,15.7,71.3,1.65,21.11,6,0,1
20.29618,79.94665,123.4,58.8,0.87,3.78,1,0,0
21.43386,76.56998,14.5,84.9,0.9,1.38,3,0,0
20.46348,77.99555,57.5,66.7,1.68,6.32,1,0,1
23.45241,78.47262,58.6,77.9,7.87,9.12,0,1,0
22.49319,78.80986,33.3,62.8,11.81,0.31,1,0,0
21.32359,78.23859,70.8,60.3,18.46,3.21,2,1,0
20.25423,76.03908,72.2,71.3,1.32,0.33,1,0,0
21.24393,77.30585,66.8,70.2,10.66,5.45,2,0,0
21.30073,78.07085,32.8,77.2,1.99,22.55,1,1,1
22.91842,76.35147,27.6,66.0,0.6,40.54,3,0,0
22.55023,77.40251,35.8,42.5,10.2,10.13,2,0,0
23.54885,76.13281,24.4,63.5,5.05,1.76,2,0,0
21.88886,76.31431,107.2,81.9,0.9,23.63,3,0,1
20.47838,77.58769,38.3,65.5,2.81,7.26,0,0,0
22.85298,76.53086,56.3,66.3,1.69,1.67,2,1,0
23.04314,78.27016,89.2,84.8,6.67,25.48,2,1,0
22.24511,78.75786,23.4,59.3,3.02,14.17,2,0,0
23.08387,79.20235,13.9,46.9,22.68,13.16,5,0,0
21.97518,76.8006,24.5,67.6,0.28,12.35,2,0,1
22.09093,76.66993,60.9,62.7,2.19,2.24,0,0,0
21.71016,76.41827,57.9,55.5,3.29,2.37,2,0,0
20.10168,78.54572,66.7,67.4,3.5,11.66,4,0,0
20.43157,78.8259,46.1,77.4,1.9,2.48,0,0,0
20.12572,76.12634,2.5,69.9,6.53,5.77,1,0,0
22.54564,79.74485,45.0,74.6,10.39,15.23,3,0,0
21.25742,76.20789,97.5,97.2,13.96,15.32,1,0,0
22.03428,78.16519,114.8,64.9,8.18,6.04,0,1,0
23.63027,78.83624,53.5,74.2,9.5,15.71,1,0,0
20.99717,79.48388,58.0,62.4,4.0,18.24,1,0,0
21.64153,78.85635,77.8,57.3,8.74,10.64,2,0,0
23.0222,79.20691,112.6,61.2,1.81,2.59,0,0,0
20.91519,77.3578,50.0,62.8,2.54,3.2,1,0,0
20.30792,79.2593,77.1,75.4,1.91,3.78,1,0,0
21.15901,76.32046,31.6,100.0,3.15,1.24,2,1,1
20.64489,79.57927,16.1,59.3,1.68,3.19,4,0,1
23.71879,78.19037,34.4,63.8,16.3,2.35,2,0,0
23.23248,79.26919,130.0,69.1,1.88,6.08,0,0,1
22.53362,77.80927,78.2,75.9,0.52,23.91,2,1,1
23.48584,78.57431,17.6,74.0,3.74,1.1,1,1,0
23.21469,78.10561,80.7,89.3,0.29,12.74,1,1,1
20.74628,78.92636,18.9,33.6,0.59,11.62,0,0,0
23.57024,76.32652,66.0,34.2,1.24,1.01,1,1,0
22.15737,76.24141,22.6,62.6,3.12,25.58,1,0,0
23.22976,76.98841,16.6,86.5,2.84,8.4,1,0,0
23.58437,76.63818,144.4,46.5,8.04,4.52,2,1,0
21.27201,79.48713,38.3,24.9,6.73,14.13,1,1,0
20.44021,76.87686,77.2,78.6,2.78,2.98,1,0,1
20.91174,79.90346,51.6,73.7,2.03,11.83,3,0,1
21.70843,77.34758,20.4,53.6,1.9,0.41,2,0,0
23.27206,76.72847,41.7,55.2,7.44,18.29,1,0,0
23.44292,79.15879,20.5,55.5,0.27,5.95,4,0,0
20.02781,78.63483,213.7,71.7,0.06,10.13,1,1,1
22.04299,77.99278,87.0,60.6,7.94,2.5,1,0,0
21.66964,78.22145,50.9,77.4,3.24,11.3,1,1,0
20.88843,78.87681,74.3,27.2,0.7,14.79,0,1,1
20.47946,76.91382,83.1,57.1,1.34,6.41,1,0,1
21.35046,79.98534,83.3,53.1,13.48,9.62,0,1,0
23.77164,79.89917,80.8,66.2,9.81,6.09,1,0,0
21.29281,78.6013,76.6,61.9,6.19,22.45,1,0,0
22.07516,76.79817,54.0,82.0,3.29,6.89,3,0,1
22.81208,78.72091,137.2,42.1,3.67,18.44,2,0,0
21.45452,76.28879,56.7,70.7,18.49,16.16,0,1,0
23.88713,76.12261,52.0,78.4,16.87,5.28,1,1,0
23.84979,77.03073,57.0,97.8,1.21,2.61,2,0,0
21.00713,77.85049,60.1,62.8,8.33,5.21,2,1,0
21.98899,79.47309,10.1,74.9,1.1,17.5,6,0,0
21.20351,78.90868,24.3,42.9,1.2,2.58,1,1,0
21.13936,78.97083,46.1,34.1,5.64,7.43,2,0,0
20.14755,77.70197,9.5,82.7,2.6,16.4,4,0,1
22.43826,77.38374,50.8,69.9,13.41,4.36,0,0,0
22.01072,77.48416,59.5,87.7,0.47,10.28,0,0,1
20.20592,79.9506,15.4,49.4,3.58,2.82,1,0,0
21.11459,76.16044,29.7,77.8,12.54,1.16,3,1,0
23.63306,79.46813,117.9,98.0,11.72,15.82,0,0,0
20.95825,78.3147,74.9,76.3,0.85,1.04,0,1,1
20.57958,77.75446,71.9,74.1,2.28,3.17,1,1,0
21.95781,78.90103,108.4,70.1,4.83,19.32,0,0,1
23.9426,77.94668,24.7,46.4,0.87,4.25,1,0,0
20.96822,79.49369,15.4,90.3,17.21,36.14,2,1,0
22.68854,79.60281,98.8,60.8,12.31,38.99,2,0,0
23.04648,77.68688,47.1,77.6,0.91,3.12,2,0,0
20.95055,77.10731,24.1,46.6,0.65,0.42,2,0,0
22.91287,78.3694,10.0,52.3,0.45,12.21,0,0,0
21.47113,79.64945,57.5,91.5,12.01,6.0,1,1,0
22.52922,76.84265,43.0,64.8,1.08,1.06,0,0,0
22.53412,78.49187,37.4,91.8,2.69,12.29,2,0,0
22.1431,78.52624,3.9,68.8,2.98,0.32,2,0,0
20.36116,78.93245,136.0,42.4,4.57,20.42,2,1,1
23.34121,76.52627,12.6,83.4,0.37,1.49,1,1,0
21.28312,78.8633,40.4,61.2,1.29,1.36,3,0,0
20.74607,79.63613,35.1,80.5,13.4,1.93,2,0,0
20.1631,76.71873,76.4,70.4,11.95,32.26,2,0,0
22.36357,76.95017,10.1,46.9,7.6,11.81,3,0,0
22.71026,79.88558,70.1,72.5,0.1,16.16,2,0,1
20.06635,76.72391,57.7,100.0,1.98,5.07,0,1,0
22.04837,79.41754,28.5,77.4,4.94,4.1,1,0,0
20.90598,77.96911,68.4,69.1,1.61,2.67,1,0,0
22.58069,76.98892,50.7,86.1,12.02,6.55,1,1,0
20.69747,79.483,157.5,73.2,5.02,8.03,0,0,0
22.76375,77.78122,43.0,73.1,0.37,9.99,0,0,0
21.54694,78.05927,21.4,53.6,11.98,2.97,0,0,0
23.74692,77.43693,70.6,73.5,15.82,29.69,2,0,0
20.55008,78.3718,38.8,85.5,0.4,1.86,5,1,1
21.36427,76.6541,50.0,57.5,3.8,33.71,2,0,0
20.45389,77.56433,15.5,91.4,1.81,0.15,1,0,0
23.69877,79.87765,77.3,68.6,2.49,6.56,2,0,0
23.50936,77.03253,33.9,56.7,0.99,4.06,1,1,0
21.03177,78.62695,61.0,85.0,4.31,5.96,3,0,1
22.63994,77.30076,183.4,65.7,15.85,8.46,0,0,0
23.26889,79.09389,41.0,81.4,3.5,5.72,0,1,1
22.2208,76.52349,84.7,65.6,0.43,5.36,0,0,0
22.1186,79.87928,43.3,69.1,4.84,13.19,1,1,0
20.96741,77.81516,28.8,77.4,2.08,11.58,2,0,0
20.37241,76.9442,120.6,74.4,9.69,17.91,0,0,0
23.58886,76.29399,7.0,40.1,2.85,2.88,1,0,0
23.60167,76.67903,100.1,53.2,1.07,9.4,0,0,0
22.53241,78.0791,5.9,83.9,1.06,8.8,0,0,0
21.35612,77.34801,93.1,68.0,7.32,4.62,2,0,0
21.39684,79.31553,50.6,62.1,1.54,6.66,1,0,0
22.90382,77.72355,21.4,49.6,7.29,3.77,2,0,0
23.58844,76.99486,35.8,53.8,1.15,1.53,2,0,0
23.54835,78.46858,81.6,39.7,1.94,2.41,1,1,0
23.1195,78.82711,172.3,68.5,3.13,1.12,1,0,0
22.56813,76.66817,10.6,61.0,14.34,11.49,1,1,0
20.33656,76.67048,22.6,55.5,13.42,10.81,1,0,0
20.64651,76.14669,14.1,69.0,1.16,30.08,0,0,0
23.59422,78.94561,43.0,75.5,2.22,13.08,3,0,0
22.42572,78.65522,94.9,100.0,0.81,0.53,0,1,1
20.03679,77.89852,12.2,47.3,3.57,21.56,2,1,1
20.40589,79.37668,49.5,87.4,3.09,19.85,1,0,0
22.65401,79.22268,92.8,84.6,11.55,5.86,5,1,1
